Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
308510,B000EF3E4K,A31WKK42FAWD7V,C. Menard,3,3,1,1234051200,Save your money,I guess you get what you pay for. Full of crab shells and no flavor.
392884,B003VXL0V6,A3FLB2I0FYHWWA,K. Pereira,0,0,5,1336780800,Smooth coffee taste,I find many of the K cups are a bit bitter for my taste.  I want something simple and smooth.  This coffee is wonderful!
282706,B0002XIBQU,A27KWBCKAT1QNV,Paul K. Hart,2,2,5,1237420800,Wheatena,"I had Wheatena as a kid, and always liked it, went searching for it recently and found it on Amazon.  It is as I remembered and great to have back.<br /><br />Thanks,<br /><br />Paul Hart"
334854,B000EDGB2E,A2CEATEBTQHPV5,Jayde,0,0,5,1349308800,Perfect....,"This is EXACTLY what I was looking for to add to my food storage. They taste good, no additives and NON GMO which is most important to me. They also come in resealable packages."
275422,B005VOONI0,AVZ1SYMD26S4R,Peggy Jentoft,0,1,4,1332806400,"tasty coffee, with additional novelty value","These coffee pods are probably intended for use in one of the  single serve  coffee machines. There were no instructions anywhere, they do have ""This side down"" on the pod but there was nothing on the box, outer pouch  or in the product description that indicated that the pods were not  the (identically appearing) coffee pods that are directly immersed in water.<br /><br /> You cannot  use them successfully just by putting them in a drip filter and pouring water through because the water flows through too swiftly. I was able to get  very nice coffee with these pods  by putting them in the cup of hot water and bobbing the pod up and down to keep the water flowing through the pod and the natural oils from settling on the grounds. It did not take long to brew.<br /> The coffee made this way was good tasting, reasonably strong but not overwhelming and somewhat sweet. The coffee was  does not have much caffeine. This would not be  the cup to have when you really need a stiff jolt  to wake you up. This is definitely a coffee I could drink at night without having any problems getting to sleep.<br /><br />Marley One Love Coffee pods are elegantly packaged in cream colored mylar pouches with red green and gold accents. There are images of Bob Marley and the Ethiopian Lion on the package and pouches. These would almost be  worth it for the conversational value of the package alone. Everyone who came into the kitchen and saw the box was enthralled. Everyone who tried the coffee enjoyed it.<br />I do not have a single serve  coffee maker so I cannot tell you  how well the pods work in a coffee maker.<br /><br />."
22069,B000KV61FC,AGKNAD0B9M83,"photomom ""anne""",0,0,3,1267747200,Should be labled medium size dogs,My golden just picks up the bottle and dumps everything out.  Larger dogs should use to big one that they can't get their mouth around.
183737,B0092VQ9RQ,AAH6764FP1GOZ,Clara English,0,0,4,1350172800,A Strong & Spicy Matcha,"This definitely nails the flavor of a strong Gingerbread cookie! Lots of ginger of course, along with cinnamon and a touch of rich molasses. It's very spicy, much like a gingersnap, and makes a great latte--especially with a pinch of brown sugar, which really enhances the hints of cookie flavor. This is a great holiday treat, especially when combined with Red Leaf's Eggnog matcha!"
208065,B007PUYV7G,A8GSFLE5X2CH4,crystal vh,2,3,5,1316736000,Taste great!Feels even better!,This is by far the best blue lotus out there!I dont drink alcohol so I just took a couple shots and it was fantastic!Very mellow!I would recomend this to anyone who needs to chill out!
287250,B001GVIUSG,A2NWY3K9L8MPDG,B. Miller,0,0,5,1275609600,"New to organic eating, and loving it!","About 3 months ago at the recommendation of my chiropractor, i began to eat less meat, less sugar, no dairy, and more whole foods.  I have never felt better!! He recommended substituting some of the Natures Path cereals for my regular cereals and i have not looked back.  The Pumpkin Raisin Crunch is my favorite in their lineup... i eat mine with almond milk and it doesn't dissolve into a soggy mess when i have a leasurely breakfast.<br />The flax and pumpkin seeds add great flavor and the raisins are sweet but not sugary or mushy.  I eat this several times a week and haven't gotten tired of it yet...i highly recommend this nutritious and delicious cereal."
8135,B0019GVYR2,ACSO5EDO1UMZ5,SeekingBodhi,0,0,1,1351209600,NEWSFLASH,"I just called Bob's Red Mill customer service (just do a G search for the company, their customer service number is under ""contact us"" on their site), and I was annoyed to learn that NONE OF BOB'S RED MILL BAKING SODA CONTAINS ALUMINUM. I've been paying $10-15 (with shipping) for this magical 'aluminum free' baking soda only to learn that the Bob's Red Mill 'premium baking soda' at my local grocery is the same exact thing. Call for yourself if you don't believe me. Ugh."
56186,B0039ZOZ86,A1O3ONM1MJM7EM,"C. Marsteller ""Cafreen""",2,3,2,1311292800,OK for an alternative snack,"Purchased this variety pack and although I was VERY impressed with Amazon Prime shipping (I literally received it in less than 24 hours!), the snack itself is average tasting.  Mostly like flavorless cardboard.  The best flavor is the jalapeno one, pretty spicy.  It satisfies the crunch and salt factor, but no way is this a replacement for real chips.  I recommend PopChips original flavor which reminds me of Munchos, or PopChips BBQ flavor; both are satisfying and taste very good.  I would NOT purchase these Gourmet Basics Smart Fries again.  I even joked with my co-workers when they asked me what I was eating..""They're Smart Fries, but they're not so smart since they don't taste that good!""  They tasted for themselves and they all pretty much agreed with me."
225470,B000H27ODM,ALU5H4AJQXC8H,Tyler F. Stransky,2,5,2,1263945600,Keep moving,These are not hot.  They always taste old and stale.  I love wasabi peas but not this brand.
52091,B000YHRGP6,A26DWOCNJQ84T2,"saz123 ""Sazummy""",0,0,5,1321747200,The BEST,Very excited to see this on Amazon! For the past couple years I would always wait patiently for apple season to see the the R.W Knudsen mulling spices on the shelves.  I used to stock up!  So good in hot apple juice!
272259,B0029O0HZS,A2O8XS3QNT0QN4,"K. Wessel ""Deep Search""",3,6,1,1317600000,It's Corn. Cats can't live on corn.,"This food is primarily corn: ground corn and corn meal. That food pyramid above the cat's head definitely doesn't represent what's in the food. I don't think most people would knowingly go out and buy corn for their cat. We associate cats with eating fish or poultry or mice. Definitely not ears of corn.<br /><br />And most of the meat is a byproduct, which is a low grade and questionable ingredient. So is ""animal fat."" It also contains wheat, which cats can easily be allergic to. This brand may be better than the bottom of the barrel cat foods, but it's still something to totally avoid. Purchase a cat food that is low in grains/carbs or has none at all. If it contains any then they should be wholegrain, like brown rice. No corn or byproducts.<br /><br />Your cat may seem fine on this food, but like a person eating fast food at every meal, you have to know there are healthier options out there and such poor dietary choices will catch up with you sometime."
454045,B003NCEATE,A3CB6DTWN5JKGW,"Nancy O'Shea ""The Lamppost""",33,33,5,1178409600,The best oil for popping corn!,"This popcorn oil is the best for popping corn anywhere.  I have used it at home in my PopStir (similar to WhirleyPop) on the stovetop and at school functions in a commercial popcorn popper. If you use this oil, you probably won't even have to add any butter to the popcorn after it's popped - so no cholesterol and less fat.  A special feature of this product: It will NOT form black ""varnish"" inside or outside of your kettle - be it a commercial machine or a home version - it is a clean oil.  This oil is solid at room temperature, and you will need some sort of scoop (as an ice cream or cookie scoop) to measure it out of the container.  This oil gives popcorn the fragrance, taste and COLOR of commercially popped theater popcorn. You won't regret your purchase of this item."
436616,B000UBOFV4,AET2BRH3JRW7J,Phillip Banks,1,2,1,1269734400,What the #@$%%?,"I have to admit that I bought this on a gluten free foods web site and completely missed the 0 Calorie description.  I was expecting a tasty gluten free Ranch dressing that is at least recognizable as Ranch (or dressing for that matter).  I can't believe that two reviews imply that this stuff has flavor.  Well, that's true, but the flavor is something like what you might get if you took a dirty dish rag dipped it in latex paint and wrung it out on your salad: This is vile and nasty stuff! Don't waste your money on this one."
73408,B000EPOC28,AJMYX6BWDEHZA,HomeschoolMom38,0,0,2,1301097600,USED To be my favorite graham cracker!,"I wrote the company to tell them about how I did not like the changes they made a couple of years ago to this product.  The texture and quality are different and the packaging has changed, and NOT for the better. This WAS our family's favorite graham cracker. They told me they changed production and there was no going back to the old way.  Too bad, they lost a customer. Also, the last case I received went rancid before the expiration date.  I store these in my pantry, which is cool and dry.  Not sure why that happened, but it was a waste. They also arrive very cracked and broken, due to the way they are packaged. I won't be buying these anymore."
309629,B000BXSTY0,A33GU41V3TVBQ9,"nan_c77 ""Artsy Girl""",0,0,5,1143417600,Picky puppy finds perfect treats,"My puppy is a VERY picky treat eater. I spent a lot of money buying brand names treats, but my puupy only sniffed at them and walked away!! The vet gave me a package of Lean Treats. My puppy, Daisy, absolutely LOVES it! Plus I could actually make 2 pieces of one treat! This is probably one of the best treats available out there!"
525003,B003H7LW5U,A1G9FCG16ZMN0K,Susie,0,0,2,1294704000,I didn't know they would be so small!,"I was surprised when I received this product.  I was expecting the only size dubble bubble that I have seen packaged in a tube.  I was expecting the larger gumballs.  They seemed to be priced too high for the little gumballs.  The little gumballs I received had a 50 cent price tag.  If you sold the packages for that price, you would lose money."
403557,B0029NV61I,A1SOCNHAQ2Z8UX,Carole Stevens,0,0,5,1310083200,best ever cat treats,"I found these treats for my cats when we were traveling in our RV down through the US.  My cats could not get enough of them.  I could get them to come into the RV anytime I wanted all I had to do what make a noise like I was opening the bag of Treats and they came running.  They turn their nose up at all the other one's now.  I live in Canada and can't buy them here, so I have to order them from Amazon."
531498,B000DZFMFA,A33TMQOL5Q3IHF,Pattie Lou,2,2,5,1178928000,Gluten Free Cookies - Very Good!!,"We bought these along with the Walnut Biscotti, as an Easter treat for our relatives with celiac disease. We decided we had to try them first to make sure they tasted all right. We loved them!! I had to stop my kids from eating them before we could give some to our relatives. You would never know that they were gluten free... they are excellent!"
372952,B0029JIARK,A1ED84P4RIOJ2Z,TQ,3,10,2,1267488000,Cheap Price; Cheap Quality,"I received the package early, which was great. The candy packaging looked fine but I didn't discover the problem until I opened the bag. Half the bag of Peanut M&M's was cracked! I was really embarrassed to share them with anybody because the entire bagful was dusted with M&M debris. Not happy with this purchase at all."
